FORWARD_TEXT_FORMAT_1.0
STDEP =  2325.0000
ENDEP =  3749.5000
RLEV  =     0.1250
CURVENAME =  GR, SP, CALI, C13, C24, RT, RI, RXO, AC, CNL, DEN, SH, POR, GR_CMR, CMRP_A, CMEF_17, CMFF_6, CMFF_20, KTIM_20, KSDR_20, SO, DEVI, AZIM
END
#DEPTH            GR         SP       CALI        C13        C24         RT         RI        RXO         AC        CNL        DEN         SH        POR     GR_CMR     CMRP_A    CMEF_17     CMFF_6    CMFF_20    KTIM_20    KSDR_20         SO       DEVI       AZIM
2328.0000      69.196    -17.154      1.653      1.653      2.079   1638.778      1.093      0.698    101.626     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.614    297.492
2328.1250      69.248    -16.931      1.658      1.658      2.079   1701.370      0.908      0.698     96.597     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.613    296.478
2328.2500      70.718    -16.844      1.661      1.661      2.079   1725.076      2.222      0.698     93.760     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.395
2328.3750      72.519    -16.946      1.660      1.660      2.079   1710.695      3.812      0.698     94.273     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.013
2328.5000      72.669    -17.053      1.658      1.658      2.079   1704.939      2.940      0.698     94.947     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.159
2328.6250      71.560    -17.136      1.655      1.655      2.079   1672.421      4.908      0.698     97.766     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.504
2328.7500      70.461    -17.174      1.653      1.653      2.079   1619.304      2.289      0.698    101.229     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.613    296.474
2328.8750      69.736    -16.978      1.657      1.657      2.079   1670.841      0.932      0.698     97.746     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.613    296.250
2329.0000      70.481    -16.834      1.661      1.661      2.079   1726.911      1.957      0.698     93.709     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.452
2329.1250      72.494    -16.936      1.660      1.660      2.079   1711.019      3.920      0.698     94.226     44.948      1.970  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000      1.612    295.001
